Référence,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
C 1 06.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur l’harmonisation de la scolarité obligatoire (L-HarmoS),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 07,Convention scolaire romande (CSR),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 07.0,Loi autorisant le Conseil d’Etat à adhérer à la convention scolaire romande (L-CSR),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 08,Accord intercantonal sur la collaboration dans le domaine de la pédagogie spécialisée (AICPS),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 08.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur la collaboration dans le domaine de la pédagogie spécialisée (L-AICPS),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10,Loi sur l’instruction publique (LIP),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.03,Règlement d’application de certaines dispositions de la loi sur l’instruction publique (RIP),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.04,Règlement d’application de l’article 106 de la loi sur l’instruction publique (RIP-106),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.11,"Règlement relatif à la construction, à la rénovation et à la transformation des locaux de l’enseignement primaire régulier et spécialisé (RCLEP)",C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.18,Règlement relatif aux dispenses d’âge (RDAge),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.21,Règlement de l’enseignement primaire (REP),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.26,Règlement du cycle d’orientation (RCO),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.31,Règlement de l'enseignement secondaire II et tertiaire B (REST),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.32,Règlement sur le dispositif sport-art-études (RDSAE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.33,Règlement relatif à l'admission dans l'enseignement secondaire II (RAES-II),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.34,Règlement relatif au service de l'accueil du degré secondaire II (RSADS-II),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.35,Règlement relatif à la formation complémentaire à un titre du degré secondaire II dans le domaine de la santé (RFCSS),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.40,"Règlement concernant les prestations fournies à des tiers, les ventes et l’octroi de dons par les écoles professionnelles (RPTEP)",C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.49,Règlement du centre de formation pré‑professionnelle (RCFPP),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.50,Règlement du centre de formation professionnelle santé (RCFPSa),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.51,Règlement du centre de formation professionnelle construction (RCFPC),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.52,Règlement du centre de formation professionnelle technique (RCFPT),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.53,Règlement du centre de formation professionnelle social (RCFPSo),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.54,Règlement du centre de formation professionnelle services et hôtellerie / restauration (RCFPSHR),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.55,Règlement du centre de formation professionnelle nature et environnement (RCFPNE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.57,Règlement du centre de formation professionnelle arts (RCFPA),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.58,Règlement du centre de formation professionnelle commerce (RCFPCom),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.69,Règlement relatif à l’école de culture générale pour adultes (RECGAd),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.70,Règlement relatif à l'école de culture générale (RECG),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.71,Règlement relatif à la formation gymnasiale au collège de Genève (RGymCG),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.72,Règlement relatif à la formation au collège pour adultes Alice-Rivaz (RCAd),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.74,Règlement relatif à la maturité professionnelle (RMatuPro),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 10.83,Règlement relatif à l’enseignement privé (REPriv),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 11,Loi sur la création de 2 fonds propres affectés pour chaque centre de formation professionnelle (LFPCFP),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 12.05,Règlement sur la pédagogie spécialisée (RPSpéc),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 15,Accord intercantonal sur la reconnaissance des diplômes de fin d’études (AIRD),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 15.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur la reconnaissance des diplômes de fin d’études (L-AIRD),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 19,Accord intercantonal sur l’harmonisation des régimes de bourses d’études (Concordat sur les bourses d’études) (CBE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 19.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur l’harmonisation des régimes de bourses d’études (Concordat sur les bourses d’études) (L-CBE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 20,Loi sur les bourses et prêts d’études (LBPE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 20.01,Règlement d’application de la loi sur les bourses et prêts d’études (RBPE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 20.08,"Règlement concernant l’exonération partielle des écolages aux élèves des écoles accréditées pour l’enseignement de la musique, de la rythmique, de la danse et du théâtre (REPEM)",C,C 1,Instruction publique,"Instruction publique, culture"
C 1 21,Accord intercantonal sur les Hautes écoles spécialisées à partir de 2005 (AHES),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 21.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur les Hautes écoles spécialisées à partir de 2005 (L-AHES),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 23,Convention intercantonale relative à la Haute école de théâtre de Suisse romande (CHETSR),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 23.0,Loi autorisant le Conseil d'Etat à adhérer à la Convention intercantonale relative à la Haute école de théâtre de Suisse romande (L-CHETSR),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 24,Accord intercantonal sur le domaine suisse des hautes écoles (concordat sur les hautes écoles) (CHE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 24.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur le domaine suisse des hautes écoles (L-CHE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 26,Loi sur la Haute école spécialisée de Suisse occidentale – Genève (LHES-SO-GE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 26.05,Règlement sur le statut des membres du conseil de direction de la Haute école spécialisée de Suisse occidentale – Genève (RStCDHES-SO-GE),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 27,Convention intercantonale sur la Haute école spécialisée de Suisse occidentale (CHES-SO),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 27.0,Loi autorisant le Conseil d’Etat à adhérer à la convention intercantonale sur la Haute école spécialisée de Suisse occidentale (L-CHES-SO),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 28,Convention intercantonale relative au contrôle parlementaire sur la Haute école spécialisée de Suisse occidentale (CCPHES-SO),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 28.0,Loi autorisant le Conseil d'Etat à adhérer à la convention intercantonale relative au contrôle parlementaire sur la Haute école spécialisée de Suisse occidentale (L-CCPHES-SO),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 30,Loi sur l’université (LU),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 30.10,Règlement sur le rectorat de l'Université de Genève (RRU),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 30.15,Règlement sur la collaboration hospitalo-universitaire et le statut du corps professoral (RCHU),C,C 1,Instruction publique,"Instruction publique, culture"
